joey,look before you
ross,mean you are loyal man and selfless and generous
joey,those things yeah
ross,you know what know chandler longer always think him best friend but now may have rethink some stuff
joey,dude
ross,hey there ever anything can for you
joey,cant think anything
ross,thanks
joey,yeah
joey,all right ill take her the met
ross,yeah theres this great rare bookstore madison avenue you know what she loves architecture you know what you should you should take walk down fifth the saint patricks cathedral and there theres this great little pastry shop that shed love
joey,geez sounds like you should going this date
ross,but not pause you know what youre the mood for thai food
joey,whoa whoa whoa slow down you way too fast just back the met
joey,you got tell exactly what there
ross,when you walk the museum take the right thats the antiquities wing ancient egypt mesopotamia the byzantine empire
joey,whoa whoa whoa whoa whoa walk the door and make the right and bends his arm the left ross then bends joeys arm the right and joey nods
chandler,have weird feeling about this place pause how know that they are not gon secretly videotape and put all over the internet
monica,because honey mean this the sweetest way possible nobody gon wan watch that
chandler,deposit specimen you know usually have call number for that kind talk thanks got
monica,hey honey test down the hall are you sure youre going
chandler,yeah guess
joey,dude sorry but hey theres one spot left right
chandler,well charlies gon get that
monica,hey dont say that you got just good chance anybody else getting that job
chandler,hes the bosss son
monica,come lottery everybody cheers
rachel,ooh you guys starts like minutes
monica,here need sort out the tickets quickly possible see weve won does anybody have any ideas how organize this doesnt let them answer how about this divide them into groups and the remaining can read whoever finishes their pile first
rachel,ooh have another idea
monica,sorry idea time over
phoebe,well are all the tickets the bowl
monica,yeah
chandler,what about the ones you have the nightstand
monica,there are tickets the nightstand
chandler,yes there are just saw them few minutes ago
rachel,who looks around
rachel,surprised what with nervous smile really
joey,yes cause live together thats joke
rachel,screw didnt get they highfive
joey,gotcha
rachel,very funny joey
chandler,monica how did you enjoy the play
monica,god honey sorry
chandler,well you should you missed the most powerful three hours the history the theater
monica,you really liked
chandler,yeah mean first hated but why wouldnt because man ive been trained bitter womans tone not listen pause but after chapter fat single and ready mingle was uplifted
monica,really
chandler,yeah had idea the amazing journey you through woman tell tell about your first period
joey,wasnt gon swim was gon dig hole removes small plastic spade used children play the beach from his backpack
monica,wow that mike thing was interesting dont know whats gon happen with phoebe and david
chandler,smiling cheekily want hint huh monica looks confused chandler repeats
monica,sensing that this some kind word play because you are pink with barely controlled glee
chandler,david going propose phoebe
monica,what looks very shocked why
chandler,because were talking about ways that could beat mike and told him that phoebe wanted get married
monica,chandler have talked about this you are not supposed give people advice now couldnt you just have made some sort inappropriate joke
chandler,did penis one look just know what was wrong about what said
monica,theyve only been going out for few weeks and phoebe completely hung mike shell say davids heart will broken will too hard for them recover from and then phoebe will end alone again
chandler,man thats some bad advice
joey,hey thank god you guys are here
rachel,hey hey whats going
joey,everything upside down here rains all day long nobody watches and ross famous
rachel,alright dont wan alarm anybody but monicas hair twice big was when landed
monica,when places with high humidity gets little extra body
chandler,what
joey,something personal
chandler,what would she get for herself for two thousand dollars that she wouldnt tell about
joey,boob job
monica,dont want her get boob job thats crazy
joey,well itsits not that crazy making them smaller that would crazy
phoebe,alright well think the reason people laugh becuase its play the word roomie
phoebe,not all were just moving right now see where goes
phoebe,what you mean
phoebe,wow
phoebe,was really that bad
phoebe,okwell thats badbut dont you think might different with someone else perhaps blonde who always uses toilet except for once the ocean
phoebe,but its just
monica,this your cellphone
phoebe,yes
monica,this your current cellphone
phoebe,yes reminds simpler time
monica,phoebe wheres your purse
monica,give
phoebe,you cant have
monica,give
phoebe,tucks her pants
monica,ill there
phoebe,disbelievingly yeah
monica,phoebe come here
monica,haha
phoebe,damn you monica geller hyphen bing
joey,hey look whos here its joey and brought home friend
rachel,thats great great you have any questions for
rachel,allright well thank you much for coming theyre standing and make their way the door
ross,thank you
rachel,really nice meet you and well call you
ross,boy uhm hadnt really thought that
rachel,okidoki and she slams the door the nannys face while ross crumples the application form wow were never gon find nanny
ross,come rach will promise have more interviews they sit down and rachel sighs and worse comes worse can always reconsider the uhm the first one met with
rachel,indignant what the blonde with bra
ross,she was blonde looks surprised for while but then gets gotcha expression his face theres knocking the door just sec okay okay this ones name sandy shes got degree early childhood education uhm she worked for her last family for three years
rachel,okay ross opens the door
ross,and shes little mannish
phoebe,gasps god david
phoebe,excited its great time come wow gosh what are you doing here are you back from minsk
monica,welcome home
chandler,well look you
monica,what you think
chandler,well its great well just wearing the same thing underneath look you
joey,ooh hey how come you doors locked
monica,just second
chandler,joey cant know that here
monica,why not
chandler,because didnt know how tell him that couldnt the knicks game just told him that had stay tulsa
monica,you lied him
chandler,always better lie than have the complicated discussion monica glares him except with you
joey,hey open the door whats going
ross,there isnt thats what saying all happy
phoebe,god youre right
ross,know and yet here you are all ready for the next date
phoebe,cant believe never realized this before thirtys and never been longterm relationship god starts crying whats wrong with
ross,theres nothing wrong with you mean you dont strike the type person that wants get married anyway
phoebe,wan get married grabs tissue
ross,please dont cry because pheebs dont know what talking about ive been divorced three times
phoebe,least youve been married god wan trade lives with ross cries more
phoebe,nothing excited about our date mike this ross geller this mike haaaaa starts crying
ross,sorry didnt catch
ross,ross geller
phoebe,huh terns ross how look all her make has gone everywhere
ross,you have compact your purse
phoebe,goes cry
monica,hmhmm ties
phoebe,wow glad changed almost weared outfit that cant contain breasts
monica,this not what wearing ovulating and chandlers gon home any minute thought would try before dinner
phoebe,ohh wait jis you guys wont late for dinner will you
monica,believe chandler and have not seen each other over week well probably the first ones there
phoebe,kay see you there happy humping outside meeting chandler heyhey wow somebody smoked out here god dont people know youre not allowed smoke public spaces
chandler,actually oklahoma smoking legal all commune areas and offices with fewer than fifteen people
phoebe,you smoked
chandler,just happened tdo lot trivias about smoking different states for example hawaii cigarettes are called leyhallalookoos
phoebe,smells him chandler you stink cigarettes
chandler,uch you think monica gon able smell
phoebe,are you kidding the woman has the nose bloodhound and the breasts great goddess
chandler,pheebs
phoebe,embarrassed gon leaves stairs
joey,hey here for eyebrow appointment
joey,chandler bing
joey,thanks
joey,thanks you get lot guys here
joey,good
joey,all right lets just this
joey,please have extremely high thresholdholly mother god face face all right all right
chandler,hey its the most eligible man hows the moving going
ross,not well went the subway again and someone did sit hand but that person was neither female nor wearing pants
chandler,well maybe youre going about this the wrong way you know mean think about single white male divorced three times
ross,thats funnydo you think youll ever work again
chandler,what are doing you know can only dish out
ross,cant believe rachel just moved and didnt say anything
chandler,can save you time ladies right here
phoebe,yeah chandler why dont you take walk this doesnt concern you
rachel,are looking for our christmas presents from monica
chandler,what thats terrible
phoebe,nono every year
chandler,well that that makes not terrible
phoebe,yeah never find them shes always best that wily minx
rachel,dont worry were just gon search here for hour and then were gon over joeys and search
chandler,not okay you cant look for monicas presents
phoebe,have
chandler,you dont have and you cant because live here too
phoebe,well then you should look with
chandler,why
rachel,chandler arent you worried about what get monica for christmas
chandler,have great idea for present for her
phoebe,thats mimics chandler great idea yeah
monica,well offense honey but your taste little feminine for
chandler,suddenly flowers are feminine
phoebe,hey everybody happy thanksgiving
joey,phoebs does come here action
phoebe,hey whats going joe
joey,listen iii need good lie
phoebe,ohokhow about the whole man walking the moon thing yknow you can you can see the strings people
joey,nonononoi need good lie explain why wasnt the work thing today
phoebe,honey you stink lying
joey,wha not
phoebe,really let ask you something yesterday the coffeehouse went the bathroom and when came back muffin was gone who took
joey,somebody opened the doorto the coffeehouse and raccoon emphasizes came running and went straight for your muffin said hey dont eat that thats phoebes and saidpauses for whilerealizing how stupid sounds said joey you stink lying what going
phoebe,dont worry dont worry well come with good lie ill help you practice
joey,thatd great thatd great thank you
phoebe,sure what was the work thing
phoebe,pick grandma the airport
joey,yes you are think may time for sponge bath sorry just used hitting the extras are you excited about your scene
phoebe,yeah but little shaky and nervous
joey,relax dont youll fine youll fine theyll probably just make you stand the back
phoebe,okay now what
phoebe,sorry sorry sorry just little nervous
phoebe,okay that helps
joey,hey you know what dont worry pheebs usually takes three takes too off the directors look alright eight
chandler,but let show you what can bagels and donuts round food for every mood
chandler,really thats great
chandler,its funny when you said unpaid sounded like you said unpaid
chandler,actually were trying and dont think monicas gon wan postpone were supposed have sex tonight actually shes probably home naked right now tend keep talking until somebody stops can just picture her the bed right now
rachel,wait minute what you mean youre taking over job
rachel,vacation idea vacation does not involve something sucking nipples until they are raw
ross,come there are plenty women out there justjust forget about herok shes off limits
joey,owww manwhy you had and said that for now that you told cant have her makes want her even more
ross,what are you child
joey,yesss
ross,look joey come now for please just try focus your sexual energy someone else
joey,alright
monica,take home
phoebe,hey mikey
phoebe,what are you doing
phoebe,kill bob
phoebe,but mike dont want kill him thought were just gon capture him and you know set him free the countryside where you can may meet you know friendly possum and wise cracking owl
phoebe,will find bob will get him calling for bob bob bob robert
phoebe,wait think hear him
ross,least tell where you hid
rachel,can ask you question
monica,yeah
rachel,have you ever had any weird romantic dreams
monica,let think when was younger used dream that got married mayor mccheese and our wedding night ate his head
rachel,well this like thatin way had had dream last night that wanted kiss joey
monica,wow you mean like kiss himkiss him
rachel,yeah mean that was pretty intense
monica,what you think brought than
rachel,dont know mean maybe thats something with the fact that saw him love scene yesterday
monica,love scene with who
rachel,olivia
monica,olivia thought she was marrying connor pause right real life more important
rachel,you think that dream means anything
monica,dont know mean you saw him love scene maybe you dont have thing for joey maybe you have thing for drake
rachel,great
rachel,thank god cant hear word that youre saying
phoebe,sticks her head out didnt say anything yet
rachel,sticks her head out too well get back there and talk
phoebe,goes back rachel its annoying when put emma the phone talk with friends
rachel,comes out again what
phoebe,comes out too well some things are just hard say your face
rachel,well heard that which means that she heard too
phoebe,ooh have problem
rachel,what are gon
rachel,god
rachel,yelling the stranger alright enough out you
joey,hello
ross,joey hey need talk charlie she there
rachel,you you talked joey
ross,yeah had really good talk
rachel,thats great
ross,yeah
rachel,everythings okay
ross,its great its great amazing guy
rachel,well obviously think too
ross,well excited about this
rachel,really excited
ross,are you kidding have had some very dirty dreams about this
rachel,excuse and she walks back joey who still looking very impressed about what ross said him rachel looks him and hits him you didnt tell him did you
joey,couldnt was saying all these really nice things about didnt want him get mad and take all back edge chandler
rachel,god alright fine you know what joey forget when back new york will tell him
joey,thank you yeah appreciate that
phoebe,mikes place
phoebe,ooh that was fast
monica,know this embarrassing but nobody cares one here even knows you
chandler,come
monica,hey were probably fertile lets home
chandler,why are you here
chandler,heaven mean why why she here
chandler,what
monica,this was fun but ive got invasive vaginal exam get leaves
chandler,love stay but have points the cup got hot date starts leave
chandler,disgusted think just fell off leaves
phoebe,strange heavy accent hello its time for your massage put your face the hole
rachel,wow swedish massage from real swedish person puts her head the hole and phoebe enters
phoebe,okay then swedish
monica,whats your name
phoebe,its normal swedish name ikea
rachel,what interesting name
monica,you didnt you must mistaken
chandler,honey there are like tickets the nightstand
monica,chandler sense the tone
rachel,well well well look what mommy found
monica,fine bought extra tickets for and chandler
phoebe,the psychic also said that would betrayed
ross,cant believe this thought were all this together
monica,hey you just got minutes ago
ross,minutes ago dont know why thats important
joey,was with you the whole time were connecticut when did you even get those
monica,when you were reading the dirty magazines without taking off the plastic
joey,ross ill show you how
rachel,well monica suppose one your special tickets win how are you gon feel when you win the lottery and you lose all your friends
monica,please win the lottery you guys are not gon leave someone gave basket minimuffins last week and couldnt get rid you for days
chandler,did somebody sign your bra
monica,got when was
phoebe,hey ross listen about you and the dinosaur girl are you really just gon let couple nobel prizes scare you off what that come piece paper
ross,its actually prize
phoebe,charlie but point she dated them but she also broke with them maybe shes looking you know slum with some average joe phd
ross,yeah maybe have whole career front mean can still win nobel prize although the last two papers ive written were widely discredited
phoebe,youre much more than just brains youre sweet and kind and funny
ross,and sexy
phoebe,well give her chance see all that
ross,yeah youre right thanks pheebs gon find her
phoebe,good for you and hey thought your paper punctuated equilibrium the devonian era was top notch
ross,stop going through stuff walks away
rachel,monica hey
chandler,thats why our honeymoon photos look like and diana ross
joey,come ill show you guys where check joey chandler and david leave
monica,chandler honey can you make sure get king size bed
phoebe,shouts after david david get one for too and see they have heartshaped one and with mirrors the ceiling
monica,shouts chandler and make sure our room isnt next theirs points phoebe
rachel,ooh you guys are lucky you are here with people you known its such romantic place thats all just wish could looks joey who the check desk share that with guy
phoebe,not joey
rachel,not joey was just lusting after chandler
monica,yeah right
chandler,tonight looks the ring isnt engagement ring supposed have diamond squints the ring emphasize how tiny the diamond there
chandler,slaps him the shoulder nice goes monica
chandler,monica can talk you for sec pulls her away from phoebe and rachel
chandler,david going propose phoebe tonight
monica,see what happens when you give people advice hope you told him not
phoebe,definitely dont wan get married just wanted make sure you didnt want too whew coz you know when move inand you start changing your mindtheres gon hell pay mister
phoebe,yeah get that
monica,you gave and decided call someone
rachel,yeahi dont know who was kidding can barely use chopsticks
rachel,thank you much wait you forgot your ermyour game
chandler,hey rach there she ismy perfectly proportioned wife
rachel,dont look never get his jokes
monica,thank you
chandler,nodont thank thank you you know theres not one thing would change about you not one single thing and definitely nottwosingle things
monica,okyoure being wierd you want sex did you something bad
chandler,just love the way you look warmfor your form
monica,okyou know the old classics you knowyou look nice theyre still
rachel,joey emmas right here you promised not bring girls home the middle the day anymore
joey,its not girl its brand new hugsy
rachel,thats great now emma has two hugsys
joey,emma has one hugsy the new hugsy huh the other hugsy dont know guess ill just take back
rachel,you know what when was little girl had little pink pony named cotton loved her much took her everywhere would braid her tail
joey,make the transfer she does
rachel,should concerned that button fell off the old hugsy and cant find
joey,dont worry about that swallowed that years ago
rachel,dont think she likes the new hugsy
joey,but hes the same
rachel,yeah think she wants the old one back
joey,but hes the same
rachel,joey come
joey,hes the same
joey,the new hugsy youre not the same
phoebe,who cares got you here
phoebe,wow where your luggage david thinks for while
phoebe,aallright well ill call the cab company
phoebe,thank you god you should see when actually look pretty good
phoebe,just the worst person ever how can not tell david that seeing mike
monica,maybe didnt give you chance
phoebe,said are you seeing someone and said
monica,well that had been your window
phoebe,yeah mean dont know was just was looking was looking his eyes and was just thinking god its david davids here hes just hes irresistible
monica,really the scientist guy
phoebe,really chandler
monica,continue
phoebe,ohokay then gets worse cause then told him that would see him tomorrow night
monica,phoebe
joey,why are you dressed like that
monica,nervous giggle because erm well chandlers gon home couple days thought that would just practice the art seduction
joey,thought heard mans voice before
monica,was just doing chandlers side the conversation yknow like how look chandlers voice really sexy could any more turned
joey,woah woah woah why are there two glasses wine out
monica,because one them for you monica goes get glass chandler looks joey through the peephole and chandler ducks monica comes back the door with the two glasses red wine gives one joey clinks the glasses together okay bye bye
chandler,you know its funny ive been practising the art seduction well hya does wiggle
monica,you might wan keep practising
chandler,yeah chandlers phone goes off its joey
monica,what
chandler,hey joe
joey,dude come home
chandler,what why
ross,you look great
monica,hey joey
joey,hey this girl wont turn around and cant tell whether shes hot not what you think
monica,joey not going objectify woman with you looks the woman but her face nice her ass woah mamma
joey,alright thanks hey have you talked chandler
monica,yeah has stay tulsa this weekend
joey,how come
monica,has work theres some rush the big pause thinks damn one these days really gon have start listening when talks about his job
joey,why dont you fly out there and surprise him
monica,maybe will thinks yea will have second honeymoon the tulsa romana
joey,and you know what you should bring the black seethrough teddy with the attached garters nods
monica,how you know have one those
joey,didnt till just now
joey,hot not hot she turns around hot
joey,said think youre hot and now embarrassed
chandler,getting okay something cover the smell oven cleaner sprays himself reads label unscented
monica,naughty doorway welcome home ive missed you join the bedroom
chandler,thanks good
monica,comes over okay you wan play that way you
chandler,shrinks back right you know what actually just get off the plane feeling kinda gross maybe should just take shower
monica,you dont need shower
chandler,still backs away alright the truth soiled myself during some turbulences
monica,what smell sniffs him smell smoke huhdid you smoke
chandler,yes but just had one two two tiny cigarettes okay five pack two packaa carton three big fat cartons two days how many cigs are there one pack and how many packs one carton the but its over made decision not gon smoke anymore
monica,gets pack out his jacket
chandler,but those are for you
ross,alright well just see when you get here bye hangs huh that was mom shes stuck terrible traffic
rachel,okay well thats now the third sign that should not leave emma
chandler,maybe she didnt move you knowmaybe that kiss was just impulsive onetime birthday thing
ross,about month ago she gave her number some guy bar
chandler,did she out with him
ross,when called threw the message away
chandler,the high road
ross,you know what enough enough talking have get moving hey check out those two blondes over there
chandler,are you trying get everybody divorced
ross,you dont have anything will just easier the two like college remember youyou break the
chandler,thought had make the jokes
ross,dont you have work
chandler,come hello name chandler heres friend ross right here and were wondering you know youre for
ross,humsohumoh hey noticed you were reading the paperanother flood europe heres question would you
chandler,still got
rachel,who
rachel,chandler thats not enough mean what she gets you great present two medium presents and bunch little presents and youve just gotten her one great present mean thats just gon make her feel bad why would you that her chandler why why
chandler,help can find faster
rachel,thats right
phoebe,ooh ooh have live one
rachel,its macys bag
phoebe,ooh whos for
rachel,reading from tag thats attached the shoe dear losers you really think hide presents under the couch chandler knew theyd break you
joey,rach these are for you
rachel,wiper blades dont even have car
joey,but with this new car smell youll think you
chandler,pheebs your turn
phoebe,ahh toilet seat covers that what you were doing while was getting gas
joey,uhhuh
phoebe,you guuuyys
joey,and for ross sweettooth
ross,you got cola drink
joey,ohhh man covers his eyes and bends down
rachel,shes precious
rachel,amyyes really reaches out toward ross and grabs her hand
ross,sure dont live there but
rachel,yeah ross has phd
rachel,god she isunbelievable
ross,know mean phd just good
rachel,yeah sure ross yeah have heart attack restaurant want you there with your fossil brush
rachel,what what what happened
ross,dont say that
rachel,amydont cry erm ross could talk you private
ross,sure you wan upstairs
rachel,erm look was thinking its with monica would like invite amy thanksgiving
rachel,alright dont get too comfortable there because back two weeks and want everything back the way was cant say that care too much for the way youve rearranged office
rachel,excuse
ross,rach have code brown situation
rachel,can you please please take care for
ross,alright but you have one sometime
rachel,let just get this straight have baby and they send some guy job
rachel,thats right youre very cheeky for temp
rachel,yeah what department was that the jerk department
rachel,did they mention that rubber and youre glue
rachel,zelner
rachel,thats great now super gavin when come back where are you planning flying off
rachel,herself wow super asskissing power
rachel,today
rachel,said today see for superhero not much with the listening
phoebe,godbob had babiesbob mom
phoebe,dont know kinda like bob for girl
phoebe,god you killed bob
phoebe,she calls out loudlysuzie she got see what
ross,whaaatsss uupppp
chandler,standing seriously dude three years ago
ross,listen can you favour gon out today can you just keep eye joey make sure nothing happens between him and molly
chandler,you dont trust him
ross,what some woman who sounded lot like joey called earlier and asked for her daughter err the hot nanny
chandler,this really your long term plan for run interference because can get job any day now sit down and put his legs the table
ross,you appear right the something come one sure will lose interest week two but for now can you please just this for
chandler,alright fine but dont blame doesnt work cause you know well once joey sets his mind something more often than not hes going have sex with
ross,well well mean got something nannys like her doesnt grow trees
chandler,picturing that tree
ross,yeah
chandler,where are you going joe
rachel,well was joey reading drakes lines the dream
monica,course was trust when comes psychology know what talking about took two psych classes college
rachel,you took the same class twice
monica,was hard
phoebe,hey
phoebe,here monica look what got wear when play the restaurant she dons top hat huh wait she raises pair spectacles her eyes right mean this might even class the ballad the uncircumcised man
monica,ohphoebe maybe wasnt clear before really love listening your music here but restaurant sort upscale place
phoebe,right yeah ill ask the butler fetch diamonds out the vault
monica,phoebe its not what you wear its sort your songs just dont think you should play the restaurant anymore
phoebe,fine ill just ill take the hat back she puts the hat bag and she crushes angrily the floor with her foot
rachel,hey you guys the funniest thing happened work
phoebe,songs arent good enough for your restaurant
rachel,were still that
joey,she went shopping with rachel why whats
ross,meeting with professor sherman about being the keynote speaker
joey,hows going
ross,could better uhm fell asleep
joey,what but already bought ticket bermuda
ross,barbados
joey,fine ill rent car and drive ross you have get that job
ross,what supposed hes out cold fact was just talking his sleep before and evidently wants someone named fran spank him harder
joey,well just wake him
ross,cant realizes that the one that put him sleep wont get the job
joey,thats tough one wait minute this happened before yeah was auditioning for play and the producer fell asleep and pause wait minute was who fell asleep yeah mean hey shakespeare how about chase scene once while
monica,hey guys dinners ready
chandler,what you think want that guys genes for kid those eyes those cheeckbones
monica,theres enthusiastic and theres just plain gay
chandler,you dont like him
monica,think fine its just that dont know anything real about him should get more information
phoebe,yeah you cant that come mike strap pairwhy dont you just tell her that got back together you know women appreciate honesty also appreciate gentle spanking once while just fyi
phoebe,her name precious she purebreed did you pick her the pound
phoebe,okay and you know she gets upset just scratch her tummy and give her liver snout laughs and hangs the phone
phoebe,stunned phoebe
phoebe,enchant she holds out her hand and they shake hands
monica,cant wait for everyone work see these plays with her hair make the shells tingle again
chandler,you back work tomorrow night right
monica,yeah
chandler,you want people see them then definition youre not having them taken out say the break dawn
monica,well had them taken out then wouldnt able this she pushes chandler the couch and brushes her hair and shells against chandlers chest you like that right again she brushes her hair against his chest and hums
chandler,what are you singing
monica,its bolero from
chandler,its ride the valkyries from apocalypse now see heres the thing the corn rose were really solution your frizzy hair problem and now that were home dont have that problem anymore you think about hate them
monica,you what you said you liked them
chandler,did lets refresh believe what said was that could see your scalp
rachel,you know lifts her head and tries look phoebes direction
phoebe,pushes her head back down time for your scalp massage
rachel,sees phoebes slippers through the hole wow really love your startled she realizes those are phoebes slippers
phoebe,something wrong
rachel,its just that uhm feels good ikea pause yeah say hey youll know this whats the capital sweden
phoebe,thinks for few moments uhm stockholm
rachel,damn wish knew that was right
joey,gesturing imaginary painting note the painterly lines and subtle impasto this canvas monet painted quickly and usually outdoors his elusive subject was light itself
ross,now you have any idea what you just said
joey,shaking his head say course not mouth says the words brain thinking monster trucks
ross,now remember when you get the museum monet not spelt monay just wrote that out phonetically for you
joey,phonetically looks confused
ross,yeah yeah that means you know just dont have time for this
ross,but you know what got say really impressed that you were able memorize all this quickly
rachel,chandler would you just tell her what she did was wrong
chandler,mon shes right you shouldnt have bought tickets just for
monica,ahhh shocked
chandler,let finish everyone else however doesnt look like gon get this job cant afford have principles screw you the tickets are ours takes tickets from rachel
monica,theres the man married
rachel,all right believe meif you win the lottery its the last youre gon hear from
monica,fine dont friends ill buy new friends yeah and then ill pay for their plastic surgery theyd look just like you
rachel,surprised alright you know what thats want share the tickets picks the bowl
joey,yeah want tickets too takes the bowl from rachel and buying the knicks and steffi graff
ross,than want mine too takes the bowl from joey and win gon put all into very lowyield bond
phoebe,you guys weve got keep all the tickets together takes the bowl from ross and puts the table
monica,should divide them picks the bowl and should get extra because used card buy them
joey,hey anybody gets extra tickets should this all thing was idea takes the bowl from monica
chandler,yeah thanks for inventing the lottery
rachel,thats just giveem ill split them she tries snatch the bowl from joeys hands but she cant she pinches his nipple and she manages take
joey,pain
monica,hey
rachel,just wanted let you know ive changed mind gon gon kiss joey
monica,you cant friends hooking bad idea
rachel,please what about you and chandler
monica,thats different was drunk and stupid
rachel,well hello points herself
monica,what about all the guys that youve got the phone numbers from why dont you just kiss one them
rachel,could could but dont want want kiss joey
monica,alright shrugs think its big mistake but its your decision
rachel,pause gon
monica,and cant stop you
ross,rachel hey rach have you seen charlie anywhere
ross,smarter than him
phoebe,hey thank you much for these tickets chandler
chandler,well this was really important experience for and wanted share with you
chandler,that would advice
monica,fine ill handle this goes phoebe whos talking rachel phoebe
phoebe,yeah
monica,looking very serious need talk you
phoebe,are you leaving the supremes monica and phoebe one side
monica,husband just gave your boyfriend some very bad advice look david going propose you tonight
phoebe,wow really thats fantastic
monica,what are you serious you wan marry him wha what about mike
phoebe,you want marry mike alright well lets just gag him and handcuff him and force him down the aisle can just see mike you take phoebe gestures with her hand someone covering her mouth and tries shout you know its every girls dream
monica,you really think marrying someone else the right answer
phoebe,sure look bottom line love mike david david love david dont look that way roseanne rosannadanna
ross,using scans and computer imaging can very real way bring the mesozoic era into the century
ross,and you know what will even better tomorrow because wont constantly interrupted joey checking see they put chocolates pillow yet someone knocks the door ross goes open and its joey rachel and chandler
joey,hey guys
ross,the chocolates arent here yet
chandler,well yes yesyou look nice can mean that your face looks nice want compliment your body meani wouldnt change itat all and more specifically wouldnt want anything get any bigger
chandler,meanyou wouldnt want any part get any bigger would you dont answer that
rachel,just when you thought that dude couldnt get any wierder
monica,know why you think was worried about getting bigger
rachel,dont know meanwhat brought that
monica,god were trying get pregnant hes probably starting freak out about the fact that body going change
rachel,noyou really think thats what
monica,you heard him bigger youre perfect just dont get any bigger god sounded just like high school wrestling coach you know what going have talk chandler
rachel,yeah you dont will course your bodys gon change your breasts are gon get biggeryour ass gon get biggeryoure gon lose bladder control she starts sobbing god its just such magical time
ross,hey
phoebe,listen wanted ask you something about marriage
ross,great now youre seeking out make jokes mean can see for all hanging out but come home
phoebe,noi really wanted know how you feel about
ross,why
monica,haha
phoebe,you know its lot less surprising that after ive buzzed you into the building
monica,phoebe why are there mens shoes the door
phoebe,those are shoes
monica,when you get over this breakup need shopping
phoebe,monica really appreciate you checking but actually feeling lot better yeah just kinda want alone right now
monica,whos that goes open door
phoebe,ordered chinese food
phoebe,what are the chances billion chinese people and they send mike
monica,mike what are you doing here
monica,phoebe
phoebe,sorry broke down wanted see him
monica,damnit phoebe how did you even call him
phoebe,there speakerphone the base unit
monica,base unit think monica think
monica,mike this doesnt concern you
phoebe,know points herself evil and and and like mike much you know its just going really well god
monica,wow isnt ironic that david would show the same day that you and mike exchange keys
phoebe,sarcastically uhuh yeah you know and given life long search for irony you can imagine how happy
monica,what are you gon
phoebe,mean guess just have tell david that nothing can happen between unless dont you know complicated moral situation right wrong
monica,you have tell david
phoebe,okay knew should have had this conversation with joey
chandler,angry funniest guy shes ever met the door funny right what you know youre door you just like knockknock jokes laughs about himself but then gets determined again save for inside enters
monica,heeeeeey
chandler,hey
phoebe,hey
chandler,oklahoma crazy place you know they call the sooner state frankly sooner any other state monica looks phoebe who also doesnt know what say and whats with oklahoma having pan handle can all states have stuff like that hey yeah from the waistband wyoming but when was seven headed over the crotch
monica,doesnt believe what shes hearing was your cabin pressurised
joey,come home
chandler,look cant whats going
joey,dont know how tell you this but think that monicas cheating told you that you shouldnt have married someone much hotter than you chandler looks monica they nod then put their ears back the phone joey walks out his apartment and monicas door right look you cant come home and deal with this then gon
chandler,loudly
joey,just heard him
chandler,quiet can you hear him now
joey,right going
chandler,loudly wait
joey,heard him again
chandler,right just stay there coming home
joey,great ill see you when you get here gon wait out the hall case the dude comes out
chandler,that really necessary
joey,absolutely youd for not that youd ever have cos know how keep women completely satisfied
ross,shouldnt the pizza here now they said minutes less how long has been
ross,although actually lager
joey,that wouldve been better ill try that joey
joey,look dont usually ask out women that meet coffeehouses
joey,turns round gesundheit
joey,really great did actually ask you
joey,turns round again seriously gunther you should see someone about that cold gets much worse you could die gunther looks scared
ross,howd the date
phoebe,well was awful every time thought about what you said started crying
ross,hasnt called
phoebe,would you call this girl puts crying act thanksforalovelyevening
ross,now feel terrible this all fault
phoebe,well you not what you should feel terrible about this could have been serious guy was sweet and smart and funny you know how hard meet guy like that
ross,are rare breed
joey,yeah and hey thanks again for letting having that last piece cake the restaurant
joey,you have any cake
joey,bends down see and the cactus pricks him the ass awch thats why
ross,what were the other two
rachel,well lets see the first one dont want and you know not going
ross,know its the first time were leaving the baby and hey know how hard for you but but emma gon fine mom gon with her shes great with kids
rachel,she
rachel,what about monica
ross,hey you only heard monicas side that that little fatso was terror
rachel,ish just dont think can bear
ross,rachel know that you can and you should
rachel,uch
ross,really would good for you and fact why dont you why dont you ahead the restaurant and will wait for mom and then ill meet you there
rachel,oha
ross,really you should just out really the world your oyster kick the heels paint the town red slang right
rachel,you need learn some new slang
ross,serious cmon you should here shoves her outside while she tries stay uhuh just
rachel,what points inside
rachel,why
rachel,right yeah hold ill just clean here little bit hello gavin
rachel,not gon lie you pretty sick
rachel,did
rachel,its just cold
rachel,what whats the matter
rachel,hes dusting with fossil brush thought would funny
rachel,youre not youre not gon get the middle anything dont worry about ross really really
rachel,lied and not sick just stay behind the curtain
rachel,molly youre not ross
rachel,right right yes
rachel,what
rachel,thats thats thats this business associate gavin hes just being silly
chandler,and lemon lime
ross,well this this too much feel like should get you another sweater
chandler,and last but not least
joey,theyre ribbed for your pleasure
ross,ooh hey ben what the holiday armadillo told you all about the festival lights
ross,yeah
monica,come ben
ross,years and years ago there were these people called the maccabees
chandler,entering santa costume merry christmas
chandler,hey grunts ben hits him full speed
ross,what are you doing here santa
chandler,well here see old buddy ben what are you doing here weirdturtleman
ross,the holiday armadillo your partjewish friend you sent here give ben some presents remember
chandler,what
