person,dialogue
phoebe,thanks look good
monica,dangerous territory keep clean
phoebe,hows piano playing going
phoebe,ive missed
monica,know way saw drunk guy throw pigeon ate
chandler,hey ross wanted apologize looks laptop screendont tell actually made gay pictures
ross,uhu uhu check chandler sits looks laptop screen
chandler,laughs moves phoebe dont get started way people tulsa talk
phoebe,okay walks away
chandler,whats word yall know two words pushed together allowed say stop know new poodle could noodle fried chicken could frickenwaiter waiter excuse ill fricken monica laughs see thats thats funny fricken right
monica,remind something guy today work told funny guy geoffrey right
chandler,yeah came
monica,well bit probably liza minelli locked freezer eating raw chicken phoebe bursts laugh
chandler,phoebe
phoebe,sounds like fricken funny
rachel,sandy thats exactly
ross,gay rachel turns ross embarrassed way
rachel,ross
rachel,thats pretty
ross,skeptic youre like guy whos nanny
ross,yeah right tone okay
ross,yeah kids say kinds crap room emma starts cry
ross,dont know look
phoebe,god remember girls nights used sitting around talking ross
rachel,god seems like forever ago
phoebe,know
phoebe,whats going ross
rachel,well dont know mean long time nothing know actually right picked ross little thing
phoebe,woah god love things happened
rachel,well first told liked looked erm little erm eye contact
phoebe,eye contact
rachel,huh
phoebe,hope using protection
phoebe,send something back yes lets lets send mashed potatoes
rachel,wait dont gon make think come
rachel,meet guys boyfriend ababy ross
phoebe,yeah nothing happen fun know everything far eye contact
monica,chandler tell joey tulsa
ross,knocks door mike opens hey mike sorry drop like come
ross,ross phoebes friend coffeehouse
ross,yeah really really need talk something
ross,laughs
ross,damn super cuts
ross,yeah phoebe great umm idiot look right guys went accidentally got upset
ross,yes yeah said something stupid never serious relationship know much fun wonderful person please dont blow
ross,well didnt need bother four mike hanagens bothered
ross,course shed never serious relationship round broadcasting like unstoppable moron
ross,yes yes also say say visvis following phoebe never serious relationship since superserious relationship vicrum
ross,thats real name
chandler,enters singing oklahoma wind comes sweeping plane stop couldnt sent texas clock maybe ill hit gym sits kidding payperview porn
ross,know closes door cant get babys fine squam yeah told atell story walking
rachel,going say left keys
ross,door locked holy moly pickle
phoebe,everyone theyre forty minutes late
joey,know uuch
phoebe,starving know coming tonight ate nothing day
joey,one lunch today
phoebe,yes expected presently yeah yeah arrival offing
joey,theyre comin waitin right
phoebe,joseph waiter thou neednt worry shant long
phoebe,one really stick ones ass doesnt one
monica,smoke day age seen little kid walks grandpa chilling
chandler,messed meeting everybody smoking
monica,dont power
chandler,power ive watch home movies eating dingdongs without taking tin foil
monica,said sexy
chandler,kay look drop gon smoke
rachel,thought ross
rachel,isnt totally isnt
rachel,right look gavinii guess felt guilty shouldnt know ross
rachel,yes
rachel,people keep saying sorry gavin
rachel,seriouslyrodeo clown
phoebe,time losers cause champions world thank
phoebe,hioh got sing
monica,told cant
phoebe,would much fun really nice voice
monica,heard sing
phoebe,time youre cooking
phoebe,yeah youre always singing yummy yummy yummy ive got love tummy
chandler,called everyone said trouble finding santa costume borrowed one guy work
ross,thank got leave
ross,finally getting excited hanukkah youreyoure wrecking
chandler,didnt get shake belly like bowl full jelly
ross,sorry chandler really important
chandler,fine ill give suit back
monica,chandler hey think keep another night really teasing look face keeps twirling chandlers beard
chandler,santa really
monica,yeah okay
chandler,dad ever dress like santa
chandler,okaaay kiss
chandler,know everybody home familys bad enough working new years eve
chandler,good gods speed good people starts close door turns around sees wendy youre gon
phoebe,phoebe
rachel,honey dont know tell ermbut something happen ross myselfboth knock wooden tableermyou wouldnt get baby
ross,well havent officially asked yet would want monica chandler
chandler,cant believe want raise emma
monica,yeah godim moved
rachel,amy see alot closer monica chandler see everyday truthfully honey dont seem connected baby
chandler,know guys got say means much youd trust childi mean know monica trying baby ive doubts skills father butthat twothat two
monica,okits time dinner ermeveryone using fancy china erm expensiveso pleaaase careful
ross,whoawhoalaughs almost drops plate catches expression turns serious whoa
monica,erjust clear comedy plates wellreceived monica pinches ross arm ross flinches
joey,hey come plate less fancy everyone elses trust fancy plate
monica,honey thatsthats special plate see game whoever gets plate wins
rachel,monica ross sister
rachel,listen sudden change plans maternity leave ended told didnt come back today gon fire
ross,thats illegal gon labor department fast wont even
rachel,alright alright calm norma rae didnt actually say afraid dont come back right guys gon try squeeze
ross,emma dont nanny
rachel,know know gon figure plan tonight please take care today
ross,absolutely give breast well way
rachel,come dont know else
ross,fine fine emma well fun wont yes yes gives kiss pink bow tapes head
rachel,ross
ross,huh
rachel,youre pretty
chandler,whatever decide gon starting career scratch gon make living maybe right time starting family
ross,tell monica dont want baby right
chandler,yeah
ross,hugs chandler goodbye
monica,enters okay baby time pants bing sees ross didnt see geller
chandler,yeah ross
ross,yeah really hoping could hang feel like
rachel,please dont care enogh bug fact going take high road going nice youre mamas boy starting right
monica,hey rach
monica,youre ready birthday lunch
rachel,first monica would like introduce talented colleague importantly wonderful friend gavin mitchell
monica,please meet youre coming rachels party today
rachel,gavin cant hes already plans mostly likely mother
rachel,invite cant stand guy
monica,youre nice
rachel,faking cant tell fake
rachel,hey phillip nice suit
ross,dude dont worry found unattended maids car way ahead game
ross,god
ross,theres something new bowl
chandler,look enough walk away
ross,wanti want pinecones
chandler,theres forest right outside
chandler,quick
ross,receptionist thank delightful stay
ross,maple candy
phoebe,singing food javuwill kill youthe food javu kill
monica,thank god thought someone swinging bag cats wall
phoebe,youd better get back kitchen monica garlic gon overuse
monica,stop playing
phoebe,sorry rachel dont time childish games still find something incredible wear beat mike whos walks away
rachel,charlie hey hey whereve
rachel,pretends stunned dres dressing room well thats weird phoebe trying clothes dressing room god small world
rachel,god heard listen let explain
rachel,pause yeah
rachel,yeah thats phoebe thats phoebe know wants like shes nympho
rachel,yeah
rachel,looks ashamed try
ross,still half asleep professor god really want keynote speaker thank hugs whilst still lap
joey,impressed wow look drops cookie stopeating hot like highest level hotness
phoebe,sure really dreading going party
joey,dont
phoebe,mike knows coming dont show hell think dont want lose face thats serious thing culture
joey,alright party pretend mike afterward come place ill get good drunk
ross,sorry sorry saying
rachel,well yeah okay look
ross,another one moisturiser even harder clean bad things happen good people
rachel,wow well clearly good time
ross,duh think enters kitchen
phoebe,okay bye alright mikes way see thought guys meeting thought meeting restaurant know doesnt really matter whos right wrong point gon take
phoebe,alright susie call susie
phoebe,yeah cant say uhm susie gon straight mike back together uhm unfortunately effectively ends relationship hes sorry wishes best luck endeavours
phoebe,well dont
phoebe,nothing theres nothing wrong
phoebe,damn woman pull together pride love god
phoebe,okay fan tough love
phoebe,didnt really know know wasnt planning coming barbados proposing
phoebe,look precious mikes worth youre attractive intelligent woman lets face mikes kind wang mean proposed still seeing gon breakup birthday dont like kissandtell cheated lot weekend
phoebe,singing ipan stripan glupi glabi swedish national anthem thank asking looks annoyed
rachel,wow ikea rich culture uhm know friend masseuse
rachel,yah shes uhm good though phoebe looks devastated
phoebe,uhu uhu think
rachel,dont know maybe got callousy fingers playing crummy guitar
phoebe,maybe trouble loosening knots youre high maintenance tight ass
rachel,lifts head phoebe
phoebe,know
rachel,like half hour man lie sweden
phoebe,come
rachel,could tell worked
phoebe,dont tell everything
rachel,yes youre going make feel guilty getting free massage
phoebe,tips included
monica,phoebe lost half
phoebe,monica winning ticket psychic said gon win remember
ross,weird psychic didnt mention anything scary pigeon
phoebe,matter fact said thats going die pause excuse little skittish
chandler,looking answering machine hey theres two messages could work
monica,play
chandler,pushes play button
phoebe,well bet hard
chandler,isshhh
monica,god sorry honey
rachel,unfair like time promoted sandra work
chandler,related ralph lauren
rachel,much better job
phoebe,guys drawing start
rachel,ross know call mums house say goodnight emma goes
ross,would open
chandler,well didnt say virus
ross,say
chandler,nude ross looks pictures anna kournikova sorry
ross,gon speech gone chandler
chandler,gone mean sure printed copy hard copy right
ross,dont
chandler,well must pretty mad right
joey,really gone
ross,yep like thank guys coming complain rain ruin career
chandler,feel awful
ross,yeah well mean nude pictures anna kournikova mean shes never even major tournament
chandler,well tried billy jean king ross glares know monica gon kill look usually make away kissing ross continues glare chandler leans hes going kiss ross
ross,get chandler runs
rachel,know happens time computer work
ross,well
joey,rach
joey,rachel
joey,cant anything like
chandler,hey rach ahperfection kisses monica wouldnt change thing thing
monica,honey
chandler,yeah
monica,ermim going change
chandler,honey dont
monica,going get bigger
chandler,honey love breasts way
rachel,argh
monica,well breasts going get bigger weather like know breasts ass going get bigger
chandler,ass
rachel,man dont surprised hands feet get bigger
chandler,theydo
monica,kind package deal
chandler,huh thats would look like worked serviced policeman youre actually going send
ross,ehactually dont need little ross dead joke didnt work responses nobody posted anything website nobody called parents joke friend nobody called nobody wrote anything nobody cares dead silence god nobody cares dead
chandler,come know thats true
ross,talking get sixty responses coming closet didnt get one response dead
chandler,well gay community lot vocal dead community
ross,cant believe even geology lab partner carried guy gets sofa
chandler,alright look lets think really think people gon stir family tragic time people gon post condolences website people caring youre dead people decent outlet grief
ross,youre right isnt decent outlet
chandler,right mean come sure funeral memorial service tons people would come
ross,exactly sits back laptop starts typing
chandler,ross whatre whatre looks laptop screenyoure memorial service
ross,would stupid youre
chandler,ross dont press send dont press
ross,late late sent oops sorry picture police man
rachel,trying put emma nap seen hugsy
joey,original crappy
rachel,god must need diaper changed
rachel,would great sandy leaves emmas room love love love
ross,come rach hes guy
rachel,hes smart hes qualified give one good reason shouldnt try
ross,weird
ross,kind job man nanny iits like woman wanted
rachel,shes got yeah try say look face yes
ross,king
rachel,whispering begging please ross makes whatever gesture yes sandy youre hired
rachel,oooh really cant hear says come
ross,got least
chandler,hey joey doesnt look gestures wait minute finger finishes reading article chandler waits joey finish need set joke later monica around need ask fire trucks
joey,ooh dont know chan good remembering lines
chandler,cant believe hears well thank god livelihood doesnt depend
chandler,dont think better think youre cheating think cheating silence heard
monica,dont want think affair
chandler,alright ive got plan ill fire escape
monica,yes good plans start ill fire escape
chandler,hear woman ill fire escape ill wait come back stairs itll like got back tulsa joey come see guy
monica,arent afraid joeys going figure silence heard
chandler,gon wait little
monica,scary pigeons back
chandler,huge
rachel,god cant believe live building grandmother lives building ida green sense personal space kinda smells chicken looks like potato
rachel,yeah thats muppy
phoebe,yeah sorry werent really looking anything happen guys boyfriend
rachel,complicated dont actually boyfriend erm
rachel,sorry
rachel,sure
phoebe,god youre giving real number
chandler,disturb disturb monica smiles
monica,everything right
chandler,everythings great watching regular television pleasant surprise hugs knows looks sees sharks swimming around thinking chandler giving treat sharks
monica,gon freshen
chandler,honey close
rachel,hello
monica,hey rach got chandlers room caught molesting
rachel,couldnt pretty know guys
monica,yea well weird part getting shark attack show
rachel,nooooooooo
monica,yes chandler watches shark porn
rachel,well watching sharks sure thats
monica,know many times ive seen jump like believe know
rachel,man sharks always knew something weird dude promised love matter
monica,means gets like disease kills someone gets jollys jaws
rachel,know honey guys different like things cant understand know dated guy wanted pretend archeologist naughty cave woman unfroze block ice
monica,thats right forbid smoke
chandler,forbid
monica,mhmm
chandler,know flew long way see loving wife way
monica,dont joke okay upset right
chandler,would say upset could
monica,yes
chandler,might well graps cigs lights one exhales really sure
monica,well ill tell gon already late phoebes birthday dinner point put cigarette gon put fight hold sex
chandler,fine
monica,sex last day ovulating dont well wait till next month walks towards bedroom
chandler,serious follows
monica,yeah
chandler,right fine ill talking
monica,huh cuddling
chandler,kissing neck
monica,yeah rock one
phoebe,isnt little part wants get
monica,little butits scary dont even know would sing
monica,delta dawn
ross,could help notice thats unusual necklace
ross,right thats firm believe keep striking
chandler,dont get neither mean youre obviously desperate youre asking women want killed
ross,great rachels gon keep kissing guys finds one wants gon die alone
chandler,drowning
chandler,well
ross,know stands
monica,wait wait cant sing front people
phoebe,pretend theyre even monica spotlight hits bright wont see anyone
chandler,thanks
chandler,phone rings answers chandler bing
monica,honey want wish merry christmas
phoebe,simultaneous others bleblahblar blargh
chandler,ahh merry christmas miss guys
monica,horrible everybody working really hard
chandler,well wendy
monica,wendy sounds like girls name
chandler,tell
monica,umhmm umhmm time told new years eve everybody else
chandler,send home
monica,ohh good boss pretty
chandler,uhh
ross,low voice answer faster answer faster
chandler,dont know
rachel,amy youve got stop
monica,oklisten eri know youre little bit family crisis dont take plates fact think everyone ermcut food like proceeds cut turkey drumstick midair plate see way protect plates lets face fun
chandler,noif crazy plate ladycatches midsentence monica diestheni would get emmaright
rachel,well actually
chandler,actually
ross,erits casethen ermemma would parents
joey,die get
chandler,monicas around good enough raise emma
ross,thats saying
joey,yeah hes lying looked phoebe nods agreement
chandler,whatwhat wrong incompetent managed survive whatever killed three
rachel,honey youre taking wrong way think youre going wonderful parent youre theyknow fun parent
monica,gon sex
ross,dont feel like sex maybe watch movie something
monica,let put way sex whether youre
ross,pants bing
rachel,alright back dont fill youve
rachel,hey popular left
rachel,well involved dont get speed
rachel,see youre alright listen job buddy okay ive five years know works dont
rachel,sits chair god youve totally messed back support chair fix
rachel,fine pushes button thing chair makes collapse alright fill
ross,hey
chandler,hey
ross,blue tie would emma spit mine
chandler,yeah give back get job course time future ties obsolete well wearing silver jump suits
monica,enters bedroom good morning lover got say last night little weak knees
ross,heres idea walk roomtake quick scan
monica,right pointing finger rachel fake
rachel,shhhhhhhhhhhhhhhhh
rachel,still cant believe invited gavin last person want see
monica,welcome party glad youre good time
rachel,god hope doesnt show course hes going show guy hates
monica,may bothers much likes like first grade skippy lang would always push playground secretly crush
rachel,monica think skippy liked honey boys fantasy knock
rachel,thanks molly walks
rachel,see guys see
monica,wouldnt get bed vodka
joey,hey rach sing happy birthday
rachel,yes sure
joey,alllright happybirth saw molly opens door followssee later
phoebe,person playing bothering
monica,yeah lets settle come
phoebe,monica drags restaurant get garlicpeelers
monica,restuarant customers excuse excuse monica gellerim head chef pauses waiting something actually expecting little applause whatever quick question show hands many bothered womans singing outside people raise hands
phoebe,many enjoyed music outside people raise hands
monica,alright let ask question many thought music fine keeping tone restaurant raise hands
phoebe,well identified tone restaurant pretentious comma garlicky
monica,thinks food delicious little pretention never hurt anyone raise hands
phoebe,well alright thinks food fine music fine evening ruined incessant poll taking raise hands
monica,excuse phoebe alright heres question worried restaurant fancy made big deal friend playing music feels really bad raises hand
phoebe,ohwho stupid stubborn lashed friends cooking actually thinks pretty great raises hand
monica,sorry
phoebe,sorry hug
monica,ooohh hey wan stick around ill whip dinner
phoebe,yeah long free food ridiculously overp
phoebe,smiling raising hand whos hoping hand raising thing still cute enough wont hate
phoebe,got wine made dont want back emergency room
phoebe,david
phoebe,god hug
phoebe,yeah whatwhat
phoebe,happened
phoebe,yeah
phoebe,well great youre back
phoebe,good
phoebe,disappointed good
phoebe,mike broke
phoebe,really
phoebe,understand yeah living new york seeing anyone thats like
phoebe,well pause
phoebe,love
phoebe,walk away together
phoebe,youre welcome
chandler,honey youve long time everything okay
monica,really
monica,problem
chandler,really happened
monica,well dancing around singing
rachel,phoebe lie working
phoebe,ashamed sold cash give benefits like medical dental know pay price corporate stooge punching clock ugh paying taxes
rachel,phoebe honey hate much walk right quit true believe honey principles admire dont
phoebe,know right gon quit time took life back
rachel,good pheebs
phoebe,okay walks closes door behind looks whispers guys microphones didnt mean love
ross,haha got die die die
ross,recovers composure starts typing respectfully professor geller hits return closes laptop joins charlie sofa hey
ross,hey met
ross,yeah joey really knows art huh
ross,mean
ross,perplexed moment wait minute guys walked met right
ross,shaking head joey joey still mean seems like guys great time together
ross,yeah good idea
monica,hugs chandler honey youve really strong know badly wanted job
chandler,yeah know really thought deserved pause lets win lottery mean still chances win right
monica,draws ticket pocket pants kiss
ross,phone goodnight sweetheart love remember youre daddys little girl covering phone rachel phoebes totally ruined passes receiver rachel
rachel,mum put back
joey,sitting sofa front rach come announcing numbers god already feel changing
chandler,got
ross,one
monica,roll people
ross,calling rachel come
rachel,phone mum pleasei know love new lips barely understand would please let say goodnight daughter
monica,check numbers make rich
rachel,goes towards others shes excited guys youre gon believe saying goodnight emma said first words
joey,say
rachel,well usually play tetris somebody elses computer
ross,cant believe cant believe happening give keynote speech tomorrow stand front people gon say
joey,could teach speech memorized auditions
ross,dont think monologue star wars gon help right joe
ross,wha really think
joey,hey dont worry mean ross needs rachel stay help anyway
rachel,ugh
ross,alright lets ross sits desk gather around know start discussing shortcomings carbon dating move clearly defining moment mesozoic era breakup pangea hello rachel joey look confused theres theres overview triassic
joey,chance happened galaxy far far away ross turns aroud glares joey rachel decide leave
monica,mike enough enough love phoebe loves need get whole never want get married thing step
monica,monica phoebes friend listen phoebe back david hes going propose going say yes know really wants
monica,sorry say something cant hear damned hair tries move huge hair away phone vain
monica,dont tell tell call shes paradise hotel barbados ive got youve got curly hair humidity mike hangs phone damnit
monica,sarcastically well hope youre happy
chandler,pretending sense tone oooh hope youre happy honey
chandler,god would want
monica,thought something wanted
chandler,alright lookif means much may able get big boobs giant ass big clown feet
rachel,god chandler cant handle going like hospital blood screaming little present thats shooting
rachel,joey tell chandler monica getting boob job
monica,joey chandler knows borrowed money
joey,mmmm hmm boob job
joey,four thousand dollars nobodys boobs getting bigger
ross,hey guys think ross divorceforce
phoebe,better
ross,hey phoebsyou know really glad came talk day hope little helpful
phoebe,yeah helpful yeahno thanks
ross,good good yeah coz thought realised dont think marriage neccessarily right path
phoebe,mean
rachel,original
joey,sorry havent seen
rachel,whats big lump covers
joey,monica
rachel,thats monica
joey,alright fine original hugsy know emma wants hes mine need
rachel,god
joey,shes unreasonable
rachel,yelling joey reason emma loves stupid penguin much joey covers hugsys ears dont cover ears stops yelling reminds uncle joey
rachel,yeah shes comforted loves uncle joey much
joey,really loves
rachel,yeah know need hugsy dont worry emma totally understand wont whatever leaves room
joey,wait wait wait wait minute wait minute mean rach mean hugsy means much emma well
rachel,oooh youre sweet knew uncle joey would step turns face emma playpen look emma look whos baaack
joey,know right chandler really big eyes nods
chandler,monica says maitre funniest guy shes ever met
joey,seriously actually said
chandler,yes crazy upset
joey,nooooo funny thing
chandler,yeah
joey,without got lame women
chandler,stops realises joey said stares moment monica enters
joey,sees monica fire trucks chandlers eyes double size turns monica doesnt understand whats happening turns back joey says youre welcome without sound
phoebe,oof
phoebe,wait wait
phoebe,sit couch uhm remember asked seeing someone said well uhm name mike
phoebe,yeah told
phoebe,sorry sorry
phoebe,happy
rachel,great gives thumbs
phoebe,wow thats great bill ross emma going happy together thinking
rachel,dont know cute liked impulse
phoebe,ross moment dont want talk ross
rachel,cos know exactly conversation going hey ross know think moment ross yeah well sure really wan anything ross yeah neither ross continue live together really tell really feeling ross yeah works
phoebe,yeah see mean way nice ross imitation rachel whiney enough
rachel,hey
phoebe,better
rachel,point maybe stop waiting around waiting moments ross move life
phoebe,really moving ross
rachel,dunno decide right
phoebe,kinda guys gon call tonight ross going pick phone thats pretty clear message
rachel,god ross ross gon pick phone get number back god hes gone
phoebe,rachel get number back god hes gone dead
ross,soon
monica,eww talking bother
rachel,yeah didnt disguise well
joey,enters hey
rachel,sits
joey,listen went girl last night half way date realized already slept
rachel,basically youve slept woman new york youre going around
joey,well thats even weird part dont think remembered sleeping
monica,dont remember sleeping
joey,yeah remember sleeping memorable guys know
rachel,know never slept
joey,whos fault
monica,whats big deal forgot forgot maybe night
joey,hey never night although sometimes little bloated dont feel sexy even better
monica,honey dont let ask
rachel,yeah slutty dont even remember youve slept youre made
monica,good hate
chandler,lots kissing neck
ross,okay well home
rachel,uch
ross,ohoh wait mother gon minute keys
rachel,alright cant cant wait long somethingknock door
ross,would bruise like peach besides yyou know everything gon fine babys sleeping
rachel,jumped basinet
ross,cant hold head yeah jumped
rachel,god left water running
ross,rach leave water running please pull together okay
rachel,leave stove
ross,never cooked since actually rachel cooked tow ross got high first aired
rachel,window open theres window open bird could fly
ross,god know yeah think youre right think listen listen
rachel,ubb
ross,pigeon pigeon previously scared rachel turns away wait nono eagle flew landed stove caught fire baby seeing jumps across apartment mighty birds aid eagle however misconstrues act aggression grabs baby talon meanwhile faucet fills apartment water baby bird still lays locked death grip swirling around whirl pool fills apartment
monica,monica gon singing delta dawn
phoebe,totally see shirt
monica,take mansion skyy
joey,hey need help
chandler,wow seems serious seems problem ashley judd
joey,look ill get new headshot taken right want get eyebrows shaped
chandler,sorry moment make fun please
joey,may sissy ill still pound ground right hurts bad could let one
chandler,like baby caterpillar chasing mama
joey,right look got help look magic marker want fill skinny one
chandler,first green
joey,hell supposed
chandler,right help promise tell anyone tell
chandler,know kids get allowance mowing lawn taking garbage well earned mine
ross,low voice answer better answer better
chandler,dont think way know shes shes colleague
chandler,shes regional vice president shes
joey,ahh wait wendy runnerup miss oklahoma
chandler,well didnt win
monica,alright well maybe let second prettiest girl oklahoma get back work
chandler,well second prettiest year mean girls oklahoma shes probably
rachel,interrupting chandler stop talking
chandler,honey theres really nothing worry
monica,okay
chandler,serious
monica,okay
chandler,merry christmas
monica,merry christmas
ross,yeah wan make sure emma also someone like monica whos disciplinariansomeone firm strict
monica,thats see
phoebe,youre fun phoebe cutting food like monica told everyone
chandler,look may know alot babies really think capable
ross,noyou equally capable youre strongest youre together
chandler,emma die knocks fist table shed give
ross,sure monica would give
joey,lie better right phoebe gives joey course look
chandler,soso let get straight two friends die get emma wife dies emma onetinyrayofhope left life gets taken away
monica,heythere disappeared dinner
chandler,somebody miss child raise poorly
monica,ross rachel dont know theyre talking mean like theyre responsible emma product bottle murlo fiveyearold condom
chandler,yknow theyre right strong fatherfigure never
monica,noyou learn things grow
chandler,yeah everything said exactly worried kid true look everybody knows
monica,dont know want kid think youre going amazing dad fun parts hard parts
chandler,yeah well picture saying room youre grounded
monica,ross sorry chandler kind feeling may made baby last night
chandler,god tell something youre pregnant
monica,talking
chandler,thing make baby faked
monica,faked
ross,know dont need tie mean better open collar know casual leaves
phoebe,joey listen cant doesnt make sense yesterday nurse today waitress cafe
joey,sometimes use extras different parts okay
phoebe,well okay gave memorable performance nurse suddenly waitress thats gon confuse fans
joey,maybe nurse moonlight waitress
phoebe,uhuh single mother supporting two children
joey,nice
phoebe,wait minute drake ramoray work hospital wouldnt come say
monica,hey rach somebody got shoes
rachel,give opens boxwowarggggshe throws box away god
phoebe,careful theses rat babies
rachel,grrr brought rats birthday party
monica,sitting straight looks like paralysed stroke feels like
phoebe,bring killed mother responsibilities know require constant care rachel youre mother
rachel,youre comparing daughter rat
phoebe,seven rats turns mike think take home need feed
rachel,going leave party take care box rats
phoebe,sorry rachel like everyone could afford help
ross,chandler hey hell joey molly asked watch
chandler,helium voice sorry got little preoccupied
ross,look stop something happenes
chandler,helium voice right behind big guy
joey,see molly people dont understand acting discipline takes lot hard work
rachel,hey
joey,hey
rachel,joey peanut butter back head
joey,touches back head licks fingers man thought got
rachel,looks puzzled howhow
joey,making peanut butter smoothy right
rachel,uhhuh
joey,couldnt find little plastic thing holds plastic thing goes top blenderand thoughtwell important right turns
rachel,wowdefinitely drake
rachel,whathow going drake
joey,ohi dont think going well
rachel,whatthat scene saw good
joey,well feeling really insecure one shooting tomorrow
phoebe,got stay upwind
rachel,thats david
rachel,disapprovingly tip iceberg
chandler,sure dont wan stick around little longer
chandler,tired always tired cause could sign clinical depression
chandler,think weve found sperm
monica,seem pretty perfect
chandler,yeah think well ask
monica,pause
chandler,greatgrandmother obese kids gon get anyway
monica,thats asking questions realized dont care hes perfect guy world hes
ross,mean little
ross,slowly yeah know think give joey chance mean hes great guy sure doesnt know much art know always talk someone else
ross,think mean reason memorized stuff thought important know thats kind guy joey
ross,going next argument
joey,hey
ross,hey
joey,charlie youre ready
joey,aside ross hey ross art stuff worked hooked
ross,glad could help man
joey,although stuff wasnt said gon confidently made work
chandler,picking plastic cup similar one deposited specimen okay aroused
chandler,hello doctor connelly pause shes know tell sitting smile fades hears answer pause well mean pause thank thanks hangs
rachel,said gleba celebrates
monica,make rich
rachel,ross isnt amazing
ross,yeah nothats great
rachel,whywhy arent excited
ross,rachohgleba word
rachel,course
ross,okay mean
rachel,dont know words
ross,glad didnt miss daughters first words goes back checking tickets
ross,yes gleba word
ross,use sentence
rachel,emma said gleba
ross,word
rachel,okay okay okay fine gon look goes picks dictionary
ross,great know youre said another word day dont dont look pbbqqt
rachel,searching dictionary alright okay okay gleba gleba excited gleba fleshy sporebearing inner mass certain fungi
monica,phoebe going say yes david see thats happens meddle peoples lives
chandler,phoebe going say yes thats thats great
monica,bcause shes still love mike
chandler,theres chance work
monica,called gon happen
chandler,pointing oooooooh meddler meddler
monica,well hadnt meddled start wouldnt meddle matter much meddle never able unmeddle thing meddled first place
chandler,vacation sucks
joey,bored stupid rain cant anything
rachel,well ive brought books could read
joey,hey hasnt come yet
joey,stopping waiter hey hey hey dont mind
joey,hey rach feel like going convention
rachel,cant pharmacists
ross,well know day coffeehouse caught whole soccer mom thing butis really mean honestly picture volvo
phoebe,awfully boxy
ross,dont knowyoud bored marriage mean sonormal
phoebe,huh
ross,hey hey help
chandler,well erclimbed four flights stairs manueveored narrow hallway dodged rabid pitbulbut last three feet gets really tricky
ross,know sometimes words hurt
joey,hey ehwhere guys want
rachel,yeahseriously coz really heavy suddenly lets mean pretending hold guys
phoebe,one last time ermthe marriage thingtheres wiggle room none
phoebe,right except want get married
phoebe,someday
chandler,aaaaandhernia
phoebe,havent exactly normal life never really felt missing anything feels turn regular stuff
phoebe,didnt know much wanted love wanted live
joey,look forget forget cant
rachel,gon youre going take hugsy away little child
joey,think got first place
monica,alright two gon bathroom dont want anything going gone heres things discuss mucus fungus idea ross
phoebe,know want going make hard
monica,running back room kiss fool
monica,didnt hear speech dont kiss
phoebe,missed much kisses mike
monica,thats phoebe
monica,excuse
monica,hey least knew guy
monica,didnt hear speech
monica,hey moving youre heartless
phoebe,well david want know know telling one hardest things ive ever
phoebe,course yeahthey hug phoebe sighs little also david sighs makes way door know kiss cheek wouldnt totally inappropriate
phoebe,mean david kisses phoebe cheek makes way door turns around
phoebe,yeah
phoebe,well thats minsk kiss cheek pause david turns door new york david grabs neck kisses full lips kiss passionately seem stop
rachel,tearful voice boy turns around sees ross
ross,worried everything allright
rachel,yeah fine fine sandy telling proposed fiance sooo beautiful
rachel,cant cant hear
ross,fine never heard rachel looks ross say manner rach see sec
rachel,yeah sandy excuse walks kitchen ross sighs
ross,realise man cried apartment three times huh havent cried many times since moved
rachel,look ross hes sandy sensitive thats
ross,picks cookie okay okay see problem sensitive takes bite cookie
ross,okay thanks beer
ross,yeah good times
ross,ohh relieved mike gone
phoebe,hey mike listen ross near
phoebe,well back
phoebe,sorry honey okay rachel gave guy number erm want ross answer phone intercept calls
phoebe,rachel says cant
rachel,give rachel takes phone phoebe mike listen know lot ask know phoebe anything want seriously talking dirty stuff
phoebe,alright give phoebe takes phone hello sorry wasnt wrong dirty stuff
phoebe,mike bye hangs
ross,wwhy blocking route entry
ross,exasperated left
joey,wow didnt take long thought said tulsa threehour flight
chandler,well youre forgetting time difference
joey,interesting right ill try get past reaches chips salt bloaty
monica,joey joey
monica,dont think sharks sexy
joey,pause wait minute little mermaid
phoebe,open
ross,hey
phoebe,hey mike called going yay yay dances around happiness
ross,yay continues happiness dancing around quick thing went talk mike
phoebe,whawhawhadid ross
ross,boy got mad part went tell great know blah blah blah ended telling
ross,umm six year long relationship guy named vicrum
ross,well seemed bum hard youd never serious relationship
phoebe,walks towards ross hadnt baby best friend swear lucifer raber dog would feasting danglers right
ross,well phoebe think youll feel better know little bit vicrum kite designer makes wow face used date oprah makes another wow face
rachel,boy gon sorry thats true
joey,maybe eat
joey,whaa another table leaves right theres still food left place okay whats restaurants policy people eatin
joey,happens waiter leaves got bathroom
phoebe,cant nonono cant hold table ask move cave
joey,ask stay ill pee leaves
phoebe,okay fine ill move alright dont manhandle gets points smaller table okay thank wach
joey,returns old table elderly people sitting sits finally guys made looks turns left phoebes chair pheebs helluhuhh
monica,spend time tie thatll make baby
chandler,look cant cant make luv fighting way
monica,sure youre mister sensitivity wanted sex right uncles funeral
chandler,celebration life alright look gon alright really way want baby conceived
monica,youre right mnya shouldnt like huch worth sorry shouldnt come hard smoking cigarettes end world
joey,god
